checkpoint,ea_accuracy,ea_ci_low,ea_ci_high,ea_vea_rate,ea_vea_ci_low,ea_vea_ci_high,ea_judge_failed,n_samples,timestamp
step_0025,0.6055,0.5758,0.6363,0.9057,0.8863,0.9242,0,976,2026-07-25T05:41:35.387929
step_0125,0.6086,0.5789,0.6393,0.9191,0.9016,0.9344,0,976,2026-07-25T06:00:31.096322
step_0225,0.5932,0.5614,0.625,0.9109,0.8914,0.9273,0,976,2026-07-25T06:27:07.063377
step_0325,0.583,0.5533,0.6148,0.9201,0.9027,0.9365,0,976,2026-07-25T06:46:49.141908
step_0425,0.6107,0.5799,0.6404,0.9283,0.9119,0.9447,0,976,2026-07-25T07:05:25.183343
step_0525,0.6117,0.582,0.6424,0.9314,0.915,0.9457,0,976,2026-07-25T07:20:44.535777
step_0625,0.6045,0.5738,0.6342,0.9283,0.9109,0.9457,0,976,2026-07-25T07:36:53.041939
step_0725,0.5932,0.5614,0.623,0.9262,0.9098,0.9416,0,976,2026-07-25T07:52:53.535074
step_0825,0.5861,0.5543,0.6179,0.9344,0.918,0.9477,0,976,2026-07-25T08:10:21.052052
step_0925,0.6055,0.5727,0.6373,0.9488,0.9355,0.9621,0,976,2026-07-25T08:24:09.462762
step_1025,0.585,0.5564,0.6178,0.9375,0.9221,0.9519,0,976,2026-07-25T08:37:02.910277
step_1125,0.6004,0.5686,0.6322,0.9529,0.9385,0.9652,0,976,2026-07-25T08:50:55.951399
step_1225,0.6178,0.5881,0.6496,0.9467,0.9324,0.96,0,976,2026-07-25T09:05:35.951118
step_1325,0.6117,0.5809,0.6414,0.9416,0.9252,0.9549,0,976,2026-07-25T17:34:40.988282
