checkpoint,accuracy,accuracy_ci_low,accuracy_ci_high,math_verify_failures,n_problems,timestamp
step_0025,0.78,0.72,0.84,0,200,2026-07-24T08:32:24.437957
step_0125,0.78,0.72,0.84,0,200,2026-07-24T09:42:44.396432
step_0225,0.785,0.725,0.84,0,200,2026-07-24T10:52:22.556194
step_0325,0.78,0.7249,0.84,0,200,2026-07-24T12:05:01.329819
step_0425,0.785,0.725,0.845,0,200,2026-07-24T13:05:50.780674
step_0525,0.785,0.73,0.845,0,200,2026-07-24T14:19:07.748434
step_0625,0.785,0.725,0.8401,0,200,2026-07-24T15:37:16.073755
step_0725,0.795,0.74,0.85,0,200,2026-07-24T16:46:27.831782
step_0825,0.79,0.73,0.8451,0,200,2026-07-24T17:52:16.996057
step_0925,0.79,0.73,0.8451,0,200,2026-07-24T19:09:11.117566
step_1025,0.785,0.725,0.845,0,200,2026-07-24T20:23:35.177876
step_1125,0.795,0.74,0.85,0,200,2026-07-24T21:45:21.732238
step_1225,0.795,0.74,0.85,0,200,2026-07-25T10:12:34.271538
step_1325,0.79,0.73,0.8451,0,200,2026-07-25T18:42:54.310313
